Category,Operation,Business_Use,Size_N,Python_Time_Sec,NumPy_Time_Sec,Speedup_Factor,Note
Element-wise,scalar_add,Feature shift,100,0.0000025246,0.0000004338,5.8204,A1:x + 1.5
Element-wise,scalar_add,Feature shift,10000,0.0002479942,0.0000022000,112.7246,A1:x + 1.5
Element-wise,scalar_add,Feature shift,1000000,0.0292912090,0.0001617090,181.1353,A1:x + 1.5
Element-wise,scalar_mul,Scaling,100,0.0000025283,0.0000004561,5.5436,A2:x * 1.5
Element-wise,scalar_mul,Scaling,10000,0.0002523667,0.0000022400,112.6637,A2:x * 1.5
Element-wise,scalar_mul,Scaling,1000000,0.0297744580,0.0001953340,152.4284,A2:x * 1.5
Element-wise,affine_transform,Linear calibration,100,0.0000034561,0.0000008773,3.9393,A3:x * 1.1 + 0.3
Element-wise,affine_transform,Linear calibration,10000,0.0003486300,0.0000053000,65.7792,A3:x * 1.1 + 0.3
Element-wise,affine_transform,Linear calibration,1000000,0.0387180830,0.0003376250,114.6778,A3:x * 1.1 + 0.3
Element-wise,clip,Outlier capping,100,0.0000038728,0.0000015647,2.4752,"A4:clip [-1,1]"
Element-wise,clip,Outlier capping,10000,0.0003823800,0.0000087750,43.5761,"A4:clip [-1,1]"
Element-wise,clip,Outlier capping,1000000,0.0386698750,0.0006350420,60.8934,"A4:clip [-1,1]"
Math Functions,sin,Signal transform,100,0.0000039163,0.0000004981,7.8628,B1:sin(x)
Math Functions,sin,Signal transform,10000,0.0004096608,0.0000380467,10.7673,B1:sin(x)
Math Functions,sin,Signal transform,1000000,0.0444498750,0.0040930830,10.8598,B1:sin(x)
Math Functions,exp,Score exponential,100,0.0000040904,0.0000005200,7.8662,B2:exp(x)
Math Functions,exp,Score exponential,10000,0.0004289358,0.0000515525,8.3204,B2:exp(x)
Math Functions,exp,Score exponential,1000000,0.0471425420,0.0058415420,8.0702,B2:exp(x)
Math Functions,log1p_abs,Log scaling,100,0.0000059647,0.0000009217,6.4717,B3:log1p(abs(x))
Math Functions,log1p_abs,Log scaling,10000,0.0006407700,0.0000679233,9.4337,B3:log1p(abs(x))
Math Functions,log1p_abs,Log scaling,1000000,0.0682951250,0.0076685830,8.9058,B3:log1p(abs(x))
Math Functions,sqrt_abs,Magnitude transform,100,0.0000065310,0.0000009407,6.9430,B4:sqrt(abs(x))
Math Functions,sqrt_abs,Magnitude transform,10000,0.0006828983,0.0000095342,71.6263,B4:sqrt(abs(x))
Math Functions,sqrt_abs,Magnitude transform,1000000,0.0734162500,0.0007392920,99.3062,B4:sqrt(abs(x))
Conditional,binary_threshold,Rule-based flags,100,0.0000039088,0.0000012064,3.2400,C1:x > 0
Conditional,binary_threshold,Rule-based flags,10000,0.0003922792,0.0000098492,39.8286,C1:x > 0
Conditional,binary_threshold,Rule-based flags,1000000,0.0387370830,0.0007850420,49.3440,C1:x > 0
Conditional,ternary_bucket,Risk bucketing,100,0.0000045272,0.0000023901,1.8941,"C2:[-1, 0, 1]"
Conditional,ternary_bucket,Risk bucketing,10000,0.0004390117,0.0000191325,22.9459,"C2:[-1, 0, 1]"
Conditional,ternary_bucket,Risk bucketing,1000000,0.0442489160,0.0016924580,26.1448,"C2:[-1, 0, 1]"
Conditional,filter_gt_0_5,Eligibility filter,100,0.0000020785,0.0000008672,2.3969,C3:x > 0.5
Conditional,filter_gt_0_5,Eligibility filter,10000,0.0001956550,0.0000272708,7.1745,C3:x > 0.5
Conditional,filter_gt_0_5,Eligibility filter,1000000,0.0203032500,0.0038077080,5.3321,C3:x > 0.5
Conditional,relu_fill,Negative suppression,100,0.0000030486,0.0000011387,2.6771,"C4:max(x, 0)"
Conditional,relu_fill,Negative suppression,10000,0.0002978283,0.0000099825,29.8350,"C4:max(x, 0)"
Conditional,relu_fill,Negative suppression,1000000,0.0292068750,0.0007916250,36.8948,"C4:max(x, 0)"
Aggregation,sum_axis_1,Row totals,100,0.0000345188,0.0000037459,9.2152,D1:2D row sum
Aggregation,sum_axis_1,Row totals,500,0.0007307917,0.0000505140,14.4671,D1:2D row sum
Aggregation,sum_axis_1,Row totals,1000,0.0028076250,0.0001873750,14.9840,D1:2D row sum
Aggregation,sum_axis_0,Column totals,100,0.0002894937,0.0000036084,80.2288,D2:2D column sum
Aggregation,sum_axis_0,Column totals,500,0.0075535973,0.0000434860,173.7018,D2:2D column sum
Aggregation,sum_axis_0,Column totals,1000,0.0409354170,0.0001645000,248.8475,D2:2D column sum
Aggregation,mean_axis_1,Row averages,100,0.0000358208,0.0000049000,7.3104,D3:2D row mean
